120 240
1 :7.15231788079470210  240 :3.75316629535813462  
2 :3.34574419385357213  241 :8.44599749748222273  0 :0.31434064760277108  
3 :1.79174169133579508  242 :5.34531693472090819  1 :8.02697836237678075  
4 :3.05764946440015883  243 :4.43739127780999176  2 :8.78749961851863226  
5 :1.55369731742301709  244 :6.95211645863215999  3 :1.22165593432416753  
6 :7.34519486068300420  245 :6.19617297891170971  4 :0.92471083712271496  
7 :9.06155583361308636  246 :4.18286690878017531  5 :5.72801904354991276  
8 :8.85341959898678610  247 :5.72252571184423342  6 :2.80159916989654212  
9 :4.24115726187933006  248 :9.67925046540726974  7 :5.73290200506607217  
10 :0.56123538926358840  249 :1.82836390270699178  8 :1.60344248786889243  
11 :4.04370250556962763  250 :8.94039735099337740  9 :0.05523850215155492  
12 :6.92831202124088286  251 :7.76085695974608569  10 :9.59715567491683785  
13 :0.02685628833887753  252 :9.10092471083712340  11 :1.25125888851588485  
14 :0.29236732078005312  253 :0.86519974364452035  12 :8.53328043458357577  
15 :4.94491409039582486  254 :9.74272896511734388  13 :1.40995513779107018  
16 :8.74935148167363508  255 :3.13821832941679135  14 :5.45335245826593873  
17 :2.95510727256080807  256 :9.42869350260933281  15 :1.11423078096865757  
18 :3.61247596667378756  257 :5.83025605029450400  16 :7.90643024994659260  
19 :6.89199499496444634  258 :5.08957182531205188  17 :7.64549699392681692  
20 :5.69292275765251610  259 :7.91650135807367139  18 :6.61549729911191164  
21 :6.00695822016052716  260 :1.57658619953001500  19 :8.00531022064882336  
22 :1.19724112674336980  261 :3.51847895748771622  20 :7.86889248329111624  
23 :4.85671559801019281  262 :6.83706167790765118  21 :7.87957396160771495  
24 :1.35776848658711513  263 :3.44279305398724311  22 :7.60979033783990033  
25 :4.89486373485519000  264 :5.53270058290353095  23 :5.58763389996032611  
26 :6.17206335642567261  265 :7.20664082766197733  24 :5.63646351512192112  
27 :1.05410931730094304  266 :1.75481429486983864  25 :6.56025879696035652  
28 :3.11655018768883307  267 :0.44618060853907893  26 :2.70882290108951063  
29 :2.41981261635181744  268 :1.03183080538346506  27 :5.23789178136539846  
30 :7.66380809961241471  269 :4.74227118747520393  28 :6.97744682149723783  
31 :5.24582659382915750  270 :4.36109500411999917  29 :3.72447889645069719  
32 :5.09292886135441147  271 :8.85586107974486580  30 :0.22766808069093905  
33 :4.33637501144444126  272 :3.71654408398693814  31 :6.31305887020477918  
34 :3.74980925931577502  273 :8.45118564409314210  32 :0.24262215033417767  
35 :1.39622180852687161  274 :0.70711386455885494  33 :2.38349559007538092  
36 :9.75249488814966270  275 :1.77739799188207659  34 :4.33820612201300104  
37 :2.65602587969603565  276 :8.97366252632221517  35 :3.38969084749900817  
38 :3.48826563310647897  277 :7.79503769035920246  36 :2.13812677388836336  
39 :9.11069063386944222  278 :7.81273842585528122  37 :8.97610400708029488  
40 :0.29297769096957305  279 :7.07205420087282910  38 :4.09070101016266374  
41 :7.33085116122928593  280 :0.63386944181646165  39 :8.91537217322306041  
42 :2.71645252845851015  281 :0.72542497024445329  40 :7.41904965361491708  
43 :3.29721976378673665  282 :8.42707602160710501  41 :7.82494582964567975  
44 :1.02664265877254546  283 :4.96414075136570343  42 :4.33240760521256174  
45 :2.25196081423383276  284 :6.72414319284646123  43 :4.70412305063020764  
46 :3.30851161229285573  285 :4.66231269264809089  44 :9.70000305185094724  
47 :0.48982207708975495  286 :5.81560716574602488  45 :5.53544724875637062  
48 :7.93298135319071029  287 :5.12833033234656810  46 :8.20490127262184465  
49 :6.50593585009308129  288 :9.45432905056916972  47 :0.72267830439161351  
50 :0.57618945890682705  289 :3.03994872890408052  48 :5.56535538804284791  
51 :5.26718955046235582  290 :8.25037385174108095  49 :6.27277443769646315  
52 :6.57795953245643439  291 :1.68034913174840539  50 :5.91296121097445582  
53 :6.81722464674825268  292 :1.63274025696584979  51 :4.59364604632709739  
54 :8.50215155491805774  293 :8.36054567094943124  52 :9.16745506149479716  
55 :5.20706808679464128  294 :7.89391766106143411  53 :3.85509811700796545  
56 :9.58433790093691762  295 :9.52085940122684349  54 :9.44944608905301031  
57 :2.12378307443464465  296 :6.69667653431806364  55 :0.26245918149357583  
58 :7.49168370616779100  297 :7.68211920529801340  56 :9.49949644459364606  
59 :7.81487472151860096  298 :3.76842555009613323  57 :1.60130619220557269  
60 :0.83864864040040288  299 :0.46082949308755761  58 :7.96563615833002725  
61 :6.21631519516586817  300 :4.53657643360698248  59 :9.25992614520706780  
62 :4.33393353068636156  301 :1.49266029847102266  60 :7.53563035981322660  
63 :7.86034730063783726  302 :3.49345377971739879  61 :5.86931974242378018  
64 :8.62636188848536634  303 :2.57209997863704354  62 :3.47331156346324033  
65 :9.38383129367961644  304 :0.31769768364513079  63 :3.00088503677480389  
66 :9.05545213171788710  305 :1.89580980864894566  64 :5.41703543198950133  
67 :8.56410412915433206  306 :3.47727896969512029  65 :4.22376171147801127  
68 :4.87533188879055146  307 :1.19510483108005006  66 :1.56590472121341584  
69 :4.99740592669454031  308 :8.47071749015778153  67 :9.55748161259804085  
70 :8.35566270943327183  309 :1.05258339182714322  68 :4.87868892483291106  
71 :5.06607257301553382  310 :2.25806451612903247  69 :4.17096469008453585  
72 :2.70729697561571081  311 :5.04837183751945595  70 :6.84652241584521004  
73 :1.97729422894985807  312 :9.04721213415936809  71 :3.33658864101077324  
74 :0.31434064760277108  313 :5.81377605517746510  72 :7.10257271034882631  
75 :3.62132633442182694  314 :6.67348246711630644  73 :3.39671010467848733  
76 :9.47141941587572944  315 :5.86840418713950029  74 :7.75139622180852683  
77 :9.07223731192968508  316 :8.62910855433820601  75 :1.11301004058961750  
78 :0.05310220648823512  317 :9.48026978362376838  76 :1.18228705710013116  
79 :4.95101779229102412  318 :5.55070650349436967  77 :7.44468520157475488  
80 :7.45597705008087441  319 :5.02609332560197775  78 :0.45442060609759821  
81 :1.89367351298562570  320 :2.97219763786736646  79 :2.84157841731009864  
82 :1.04403820917386403  321 :6.63350321970274948  80 :3.39091158787804803  
83 :5.19394512771996197  322 :0.60426648762474444  81 :5.77593310342722877  
84 :9.46440015869624851  323 :5.55284279915768941  82 :6.54408398693807758  
85 :8.64528336436048406  324 :3.57768486587115087  83 :0.69307535019989619  
86 :1.74687948240607938  325 :1.96447645496993917  84 :4.43311868648335228  
87 :2.89315469832453376  326 :9.22818689535203163  85 :2.14331492049928274  
88 :1.43986327707754747  327 :3.01065095980712316  86 :4.15082247383037828  
89 :5.47379985961485627  328 :5.37583544419690540  87 :4.75447859126560246  
90 :2.27057710501419097  329 :9.04965361491744780  88 :6.87795648060548714  
91 :5.45457319864497858  330 :8.86715292825098444  89 :0.22034363841669974  
92 :9.33164464247566094  331 :3.65276039918210405  90 :7.22647785882137494  
93 :7.39463484603412002  332 :7.71233252967925065  91 :8.81984923856318836  
94 :0.73732718894009219  333 :0.00030518509475997  92 :9.95147556993316407  
95 :3.51542710654011659  334 :7.66350291451765475  93 :0.42085024567400126  
96 :2.38013855403302088  335 :3.30179754020813609  94 :2.65175328836939617  
97 :5.71489608447523434  336 :5.82049012726218429  95 :4.72243415631580543  
98 :4.04492324594866748  337 :1.93304239020966206  96 :3.88134403515732274  
99 :6.66158024842066698  338 :1.05471968749046296  97 :8.84792626728110676  
100 :0.02624591814935759  339 :5.39353617969298416  98 :9.86297189245277295  
101 :7.90093691824091326  340 :4.97146519363994255  99 :8.63765373699148498  
102 :2.70668660542619088  341 :1.19144260994293050  100 :0.97964415417950990  
103 :8.92788476210821891  342 :9.02066103091524951  101 :4.30890835291604368  
104 :4.60951567125461636  343 :1.61198767052217162  102 :2.68745994445631275  
105 :0.82461012604144412  344 :4.48591570787682770  103 :7.79351176488540265  
106 :4.46607867671742920  345 :1.26010925626392400  104 :5.65172276985992017  
107 :7.52403332621234799  346 :3.65764336069826346  105 :4.33729056672872115  
108 :7.06411938840907005  347 :3.56608783227027182  106 :8.07336649678029694  
109 :3.32621234778893404  348 :3.79741813409833062  107 :1.03274636066774494  
110 :6.36432996612445478  349 :5.30716879787591189  108 :0.51728873561815236  
111 :3.21817682424390394  350 :1.77709280678731640  109 :6.14917447431867448  
112 :7.78435621204260375  351 :8.93368327890865821  110 :1.39957884456923121  
113 :9.02859584337900856  352 :7.75414288766136650  111 :1.65776543473616744  
114 :9.95452742088076370  353 :9.29319132053590558  112 :0.83346049378948328  
115 :5.81987975707266436  354 :2.20862453077791665  113 :3.48643452253791919  
116 :9.85747856074709361  355 :0.51789910580767240  114 :3.05764946440015883  
117 :5.34592730491042811  356 :3.34543900875881217  115 :5.99871822260200815  
118 :9.34720908230842085  357 :6.58436841944639450  116 :4.40626239814447462  
119 :3.19589831232642618  358 :2.49732963042085032  117 :5.27085177159947538  
120 :6.84499649037141022  359 :1.65410321359904788  118 :5.98925748466444929  
121 :9.62065492721335502  360 :5.04440443128757554  119 :6.14123966185491543  
122 :6.77571947386089679  361 :0.00762962736899930  120 :9.17569505905331617  
123 :7.26248970000305150  362 :4.68459120456556910  121 :7.01467940305795423  
124 :2.30262153996398800  363 :6.39576403088473189  122 :8.86806848353526433  
125 :8.32544938505203369  364 :0.94668416394543287  123 :0.25299844355601675  
126 :5.36820581682790632  365 :2.28400524918362979  124 :5.66759239478743826  
127 :5.38315988647114452  366 :4.85671559801019281  125 :0.92165898617511521  
128 :3.22763756218146325  367 :7.92748802148503096  126 :4.61561937314981563  
129 :0.27100436414685508  368 :6.90206610309152513  127 :8.94619586779381670  
130 :3.81389812921536908  369 :0.77669606616412856  128 :6.49311807611316283  
131 :0.61830500198370308  370 :6.15283669545579404  129 :5.61815240943632332  
132 :4.61622974333933556  371 :3.63719595934934548  130 :8.93337809381389825  
133 :9.75310525833918263  372 :0.81820123905148467  131 :1.10690633869441823  
134 :2.61299478133487950  373 :7.49626148258919045  132 :0.08758812219611194  
135 :9.25778984954374806  374 :9.91454817346720851  133 :1.44779808954130673  
136 :7.32535782952360570  375 :0.28626361888485369  134 :8.54518265327921434  
137 :0.57985168004394660  376 :4.33118686483352189  135 :7.64488662373729699  
138 :6.59474471266823326  377 :0.29541917172765281  136 :0.87679677724539928  
139 :9.07467879268776478  378 :4.67024750511184994  137 :2.27454451124607093  
140 :6.41956846827600902  379 :7.71385845515305046  138 :3.83159886471144739  
141 :6.91702017273476333  380 :4.02356028931547005  139 :6.57979064302499506  
142 :3.39091158787804803  381 :6.19342631305887004  140 :3.05337687307351890  
143 :6.74459059419537965  382 :7.63725699636829702  141 :9.72289193395794626  
144 :2.19702749717703805  383 :4.51338236640522439  142 :5.54887539292580989  
145 :1.88207647938474687  384 :9.38291573839533655  143 :7.92138431958983080  
146 :2.55897701956236467  385 :2.76467177343058568  144 :0.15655995361186559  
147 :7.85546433912167696  386 :8.43165379802850445  145 :0.79805902279732654  
148 :1.07516708883938117  387 :4.12213507492294084  146 :0.31403546250801112  
149 :9.83672597430341433  388 :9.68474379711294908  147 :1.76671651356547743  
150 :5.03097628711813716  389 :8.53572191534165547  148 :7.63878292184209684  
151 :7.95861690115054810  390 :9.67253639332255055  149 :4.82650227362895556  
152 :8.53083895382549429  391 :4.75569933164464231  150 :4.55183568834498153  
153 :3.30118717001861617  392 :6.98965422528763725  151 :8.06268501846369823  
154 :7.58690145573290220  393 :8.31812494277779457  152 :0.60884426404614400  
155 :8.08893093661305507  394 :4.16791283913693622  153 :0.64333017975402085  
156 :1.27414777062288276  395 :1.62724692526017023  154 :1.57933286538285467  
157 :0.44160283211767937  396 :7.44132816553239529  155 :1.45817438276314593  
158 :2.03161717581713308  397 :4.42579424420911316  156 :3.93932920316171753  
159 :3.19650868251594611  398 :3.37199011200292986  157 :9.97711111789300276  
160 :0.85360271004364152  399 :4.89333780938139018  158 :1.53050325022125921  
161 :4.05560472426526708  400 :8.05230872524185948  159 :9.70244453260902695  
